author_repo,wf_contents,security_policy
Genymobile/scrcpy,,
neovim/neovim,CI' 'active' '3822072' 'Release' 'active' '4054572' 'vim-patches' 'active' '8558280' 'Pull Request Labeler' 'active' '9148610' 'Autogenerate API docs' 'active' '9793006' 'Backport' 'active' '10260821' 'Request reviews' 'active' '19675244' 'Missing API docs' 'active' '22282362' 'Remove reviewers' 'active' '23032145' 'Close stale issues and PRs' 'active' '39165855' 'news.txt check' 'active' '41071741' 'Commit Linter' 'active' '41953701' 'Remove reviewers' 'active' '41954233' 'Request reviews' 'active' '41954234' 'CodeQL' 'active' '41954235' 'Coverity' 'active' '41954236' 'New feature' 'active' '43665705,neovimsecurityadvisoriesnew
git/git,CI' 'active' '911634' 'check-whitespace' 'active' '3232643' 'git-l10n' 'active' '13011788' 'C/C++ CI' 'active' '33122270,RReeppoorrttiinngg aa vvuullnneerraabbiilliittyy' 'Please send a detailed mail to gitsecuritygooglegroupscom to report' 'vulnerabilities in Git' 'Even when unsure whether the bug in question is an exploitable vulnerability' 'it is recommended to send the report to gitsecuritygooglegroupscom and' 'obviously not to discuss the issue anywhere else' 'Vulnerabilities are expected to be discussed oonnllyy on that list and not in' 'public until the official announcement on the Git mailing list on the release' 'date' 'Examples for details to include' '     Ideally a short description or a script to demonstrate an exploit' '     The affected platforms and scenarios the vulnerability might only affect' '      setups with casesensitive file systems for example' '     The name and affiliation of the security researchers who are involved in' '      the discovery if any' '     Whether the vulnerability has already been disclosed' '     How long an embargo would be required to be safe' 'SSuuppppoorrtteedd VVeerrssiioonnss' 'There are no official Long Term Support versions in Git Instead the' 'maintenance track ie the versions based on the most recently published' 'feature release also known as  version sees occasional updates with bug' 'fixes' 'Fixes to vulnerabilities are made for the maintenance track for the latest' 'feature release and merged up to the indevelopment branches The Git project' 'makes no formal guarantee for any older maintenance tracks to receive updates' 'In practice though critical vulnerability fixes are applied not only to the' 'most recent track but to at least a couple more maintenance tracks' 'This is typically done by making the fix on the oldest and still relevant' 'maintenance track and merging it upwards to newer and newer maintenance' 'tracks' 'For example v was released to address a couple of CVEs and at the same' 'time v v v v v v v v' 'v and v were released
obsproject/obs-studio,BUILD' 'active' '583765' 'Clang Format Check' 'active' '991062' 'Generate Documentation' 'active' '2325818' 'Flatpak' 'active' '3932276' 'UI XML Validator' 'active' '12228630' 'Crowdin Sync: Import latest translations' 'active' '15634122' 'Crowdin Sync: Upload English strings' 'active' '15634123' 'Steam Upload' 'active' '24400498' 'Services Validator' 'active' '24503783,
fffaraz/awesome-cpp,,
serhii-londar/open-source-mac-os-apps,Generate Readme' 'active' '13260206' 'Check PR' 'active' '13261223,
FFmpeg/FFmpeg,,
vim/vim,GitHub CI' 'active' '4081728' 'CodeQL' 'active' '2804156' 'Coverity' 'active' '11997784,
curl/curl,Build on Ubuntu with default options' 'active' '193743' 'Fuzzer' 'active' '605135' 'macOS' 'active' '804123' 'CodeQL' 'active' '1692863' 'Hacktoberfest' 'active' '14628503' 'Markdown links' 'active' '16390219' 'Linux' 'active' '17017225' 'REUSE compliance' 'active' '26270060' 'Linux' 'active' '32345126' 'ngtcp2' 'active' '32412167' 'ngtcp2' 'active' '32600255' 'Linux' 'active' '34788117' 'proselint' 'active' '35082305' 'spell' 'active' '35115237' 'dist' 'active' '35145584' 'AppVeyor Status Report' 'active' '38015700' 'ngtcp2' 'active' '41753996,See SECURITYPROCESS for full details' 'RReeppoorrttiinngg aa VVuullnneerraabbiilliittyy' 'If you have found or just suspect a security problem somewhere in curl or' 'libcurl report it on HackerOne' 'We treat security issues with confidentiality until controlled and disclosed' 'responsibly
huihut/interview,pages-build-deployment' 'active' '21233709,
